業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,あ゛～,ア゛～,9900044,山形市木の実町6-32,,2021/6/22,山形市,38.2506122,140.3339977
〇,,THE ARCHIGRAM British Pub & Cafe,アーキグラム　ブリティッシュ　パブアンドカフェ,9900031,山形市十日町2-1-35,,2021/7/15,山形市,38.2459402,140.3362874
〇,,R,アール,9970034,鶴岡市本町2-12-10,,2021/6/30,鶴岡市,38.72374378,139.8246882
,〇,R・ライズ,アール・ライズ,9900731,西川町大字月岡435-1,,2021/8/2,西川町,38.40242988,139.9952167
〇,,愛,アイ,9900042,山形市七日町4-16-32,,2021/11/26,山形市,38.2541844,140.3428667
〇,,アイアイひらた　お食事処　南麓,アイアイヒラタ　オショクジドコロ　ナンロク,9996724,酒田市山楯字南山32-4,,2021/5/20,酒田市,38.89873517,139.9454499
〇,〇,あいかも会館,アイカモカイカン,9950003,村山市大字本飯田1477,,2021/11/26,村山市,38.52622123,140.3769974
〇,,あいこう亭,アイコウテイ,9900831,山形市西田2-24-55,,2021/9/15,山形市,38.26446346,140.3117371
〇,,愛子屋,アイコヤ,9980044,酒田市中町2-3-2,,2021/11/10,酒田市,38.9174104,139.8360217
〇,,Icecafe弘水-KOSUI-,アイスカフェコウスイ,9940026,天童市東本町3-6-39,,2021/5/8,天童市,38.3578854,140.3779453
〇,,愛之助,アイノスケ,9910031,寒河江市本町2-1-7,江戸寿司ビル1F,2021/11/1,寒河江市,38.37456238,140.2758971
〇,,ISLAND PEAK,アイランドピーク,9900043,山形市本町1-7-24,,2021/6/4,山形市,38.25169853,140.3375788
〇,,アイリーンズ　キッチン,アイリーンズ　キッチン,9900057,山形市宮町3-7-34,,2021/5/12,山形市,38.27032546,140.3380829
〇,,Avantgarde Be,アヴァンギャルドビー,9900039,山形市香澄町1-10-1,ホテルクラウンヒルズB1F,2021/7/9,山形市,38.2486633,140.3304362
