業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
,〇,R・ライズ,アール・ライズ,9900731,西川町大字月岡435-1,,2021/8/2,西川町,38.40242988,139.9952167
〇,〇,あいかも会館,アイカモカイカン,9950003,村山市大字本飯田1477,,2021/11/26,村山市,38.52622123,140.3769974
,〇,赤湯温泉　丹波館,アカユオンセン　タンバカン,9992211,南陽市赤湯1014,,2021/9/14,南陽市,38.05028296,140.1678488
,〇,朝日山の家,アサヒヤマノイエ,9900721,西川町大字大井沢1807-1,,2021/8/25,西川町,38.40111504,139.9940528
,〇,旭屋旅館,アサヒヤリョカン,9920076,米沢市小野川町2437-1,,2021/11/10,米沢市,37.880666,140.0547033
,〇,あったまりランド深堀　宿泊施設　虹の館,アッタマリランドフカボリ　シュクハクシセツ　ニジノヤカタ,9994134,大石田町大字豊田884-1,,2021/8/31,大石田町,38.5991169,140.3572764
,〇,あつみ温泉高見屋別邸久遠,アツミオンセンタカミヤベッテイクオン,9997204,鶴岡市湯温海字湯之尻83-3,,2021/10/7,鶴岡市,38.61735458,139.6010933
,〇,あつみホテル　温海荘,アツミホテルアツミソウ,9997204,鶴岡市湯温海甲188,,2021/5/8,鶴岡市,38.61614517,139.6089503
,〇,アパホテル〈山形駅前大通〉,アパホテルヤマガタエキマエオオドオリ,9900031,山形市十日町4-1-8,,2021/8/24,山形市,38.2461153,140.3336646
,〇,アパホテル〈山形鶴岡駅前〉,アパホテルヤマガタツルオカエキマエ,9970015,鶴岡市末広町5-20,,2021/9/24,鶴岡市,38.73923087,139.8353608
〇,〇,アルブ天元台,アルブテンゲンダイ,9921461,米沢市大字李山12118-6,,2021/6/18,米沢市,37.77489031,140.1349013
〇,〇,粋の宿　招湯苑,イキノヤド　ショウトウエン,9920039,米沢市門東町1-4-5,,2021/7/16,米沢市,37.90699414,140.1083263
,〇,いこいの宿　農,イコイノヤド　ノウ,9970023,鶴岡市鳥居町34-16,,2021/5/27,鶴岡市,38.72680572,139.8367095
,〇,石井ペンション,イシイペンション,9993114,上山市永野字蔵王山2427,,2021/7/30,上山市,38.12534001,140.3941433
,〇,いづみ荘,イヅミソウ,9996105,最上町大字富沢1005-7,,2021/5/27,最上町,38.71147879,140.5538365
,〇,いやしの湯『赤倉荘』,イヤシノユ　アカクラソウ,9996105,最上町富澤字湯ノ原819-6,,2021/8/26,最上町,38.70905049,140.555314
,〇,岩清水料理の宿　季の里,イワシミズリョウリのヤド　キノサト,9902301,山形市蔵王温泉1271-20,,2021/6/14,山形市,38.16135386,140.391474
,〇,上杉の御湯　御殿守,ウエスギノオユ　ゴテンモリ,9992211,南陽市赤湯989,,2021/6/28,南陽市,38.050841,140.1683489
〇,〇,卯の花温泉　はぎ乃湯,ウノハナオンセン　ハギノユ,9930075,長井市成田2170-2,,2021/6/24,長井市,38.12036572,140.0330797
,〇,姥湯温泉　桝形屋,ウバユオンセン　マスガタヤ,9921303,米沢市大字大沢姥湯1,,2021/9/10,米沢市,37.76085415,140.2224113
,〇,海辺のお宿　一久,ウミベノオヤド　イッキュウ,9971201,鶴岡市湯野浜1-10-29,,2021/7/16,鶴岡市,38.7811871,139.7520411
