業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,あ゛～,ア゛～,9900044,山形市木の実町6-32,,2021/6/22,山形市,38.2506122,140.3339977
〇,,THE ARCHIGRAM British Pub & Cafe,アーキグラム　ブリティッシュ　パブアンドカフェ,9900031,山形市十日町2-1-35,,2021/7/15,山形市,38.2459402,140.3362874
〇,,愛,アイ,9900042,山形市七日町4-16-32,,2021/11/26,山形市,38.2541844,140.3428667
〇,,あいこう亭,アイコウテイ,9900831,山形市西田2-24-55,,2021/9/15,山形市,38.26446346,140.3117371
〇,,ISLAND PEAK,アイランドピーク,9900043,山形市本町1-7-24,,2021/6/4,山形市,38.25169853,140.3375788
〇,,アイリーンズ　キッチン,アイリーンズ　キッチン,9900057,山形市宮町3-7-34,,2021/5/12,山形市,38.27032546,140.3380829
〇,,Avantgarde Be,アヴァンギャルドビー,9900039,山形市香澄町1-10-1,ホテルクラウンヒルズB1F,2021/7/9,山形市,38.2486633,140.3304362
〇,,葵,アオイ,9900833,山形市春日町6-2,,2021/6/18,山形市,38.2521378,140.3189783
〇,,Acasha,アカーシャ,9900039,山形市香澄町1-9-11,VIP HONDAKAN2F,2021/11/22,山形市,38.24867229,140.3301085
〇,,赤身焼肉しん,アカミヤキニクシン,9900845,山形市飯塚町2007,,2021/10/29,山形市,38.258408,140.2840734
〇,,赤湯ラーメン龍上海　医大前店,アカユラーメンリュウシャンハイ　イダイマエテン,9902331,山形市飯田西4-1-20,,2021/6/16,山形市,38.21569839,140.3219012
〇,,秋しの,アキシノ,9900042,山形市七日町2-3-22,高橋ビル3番館2F,2021/7/28,山形市,38.251543,140.3409335
〇,,亞呉屋　山形駅前店,アゴヤ　ヤマガタエキマエテン,9900031,山形市十日町4-1-6,,2021/11/12,山形市,38.2462124,140.3334401
〇,,亞呉屋　山形本店,アゴヤ　ヤマガタホンテン,9902446,山形市白山1-9-15,,2021/10/11,山形市,38.22785346,140.3191988
