業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,R,アール,9970034,鶴岡市本町2-12-10,,2021/6/30,鶴岡市,38.72374378,139.8246882
〇,,アイアイひらた　お食事処　南麓,アイアイヒラタ　オショクジドコロ　ナンロク,9996724,酒田市山楯字南山32-4,,2021/5/20,酒田市,38.89873517,139.9454499
〇,,愛子屋,アイコヤ,9980044,酒田市中町2-3-2,,2021/11/10,酒田市,38.9174104,139.8360217
〇,,Icecafe弘水-KOSUI-,アイスカフェコウスイ,9940026,天童市東本町3-6-39,,2021/5/8,天童市,38.3578854,140.3779453
〇,,愛之助,アイノスケ,9910031,寒河江市本町2-1-7,江戸寿司ビル1F,2021/11/1,寒河江市,38.37456238,140.2758971
〇,,赤から天童店,アカカラテンドウテン,9940027,天童市桜町11-61,,2021/12/7,天童市,38.34829522,140.3816716
〇,,赤ちょうちん　一力,アカチョウチン　イチリキ,9910031,寒河江市本町2-1-51,,2021/11/1,寒河江市,38.37380096,140.276362
〇,,赤ひげ　さくら家,アカヒゲ　サクラヤ,9993762,東根市神町北1-2-12,,2021/10/18,東根市,38.41374994,140.3801595
〇,,赤湯温泉　やきにく屋さくらんぼ,アカユオンセン　ヤキニクヤサクランボ,9992211,南陽市赤湯944-2,,2021/6/15,南陽市,38.04981777,140.16665
〇,,AquA（アクア）,アクア,9998232,酒田市市条字荒瀬7-5,,2021/9/16,酒田市,38.96573067,139.9343748
〇,,アクア,アクア,9992211,南陽市赤湯420-6,サンパレスビル1F,2021/10/27,南陽市,38.04854574,140.1663884
〇,,Accue Marie TAMAHIME,アクーユマリエタマヒメ,9960002,新庄市金沢2136-1,,2021/7/29,新庄市,38.75201024,140.3102046
〇,,AXEL,アクセル,9992211,南陽市赤湯420-6,サンパレスビル1F,2021/7/6,南陽市,38.04837254,140.166375
〇,,あけぼの三丁目,アケボノサンチョウメ,9960025,新庄市若葉町14-36,リーフムーンビル2Ｆ,2021/10/18,新庄市,38.76147584,140.3018576
〇,,あさがらす,アサガラス,9993511,河北町谷地己819-1,,2021/10/6,河北町,38.43554535,140.2993182
〇,,味一番　うめ本,アジイチバン　ウメモト,9960032,新庄市上金沢町1-29,,2021/11/11,新庄市,38.75315647,140.3062629
〇,,味来道,アジキドウ,9910003,寒河江市西根2-1-6,,2021/10/29,寒河江市,38.38587353,140.2784976
〇,,味蔵　中国料理,アジクラ　チュウゴクリョウリ,9910003,寒河江市大字西根字上河原96-1,,2021/7/28,寒河江市,38.3954732,140.2817091
〇,,味工房　八月,アジコウボウ　ハヅキ,9980043,酒田市本町3-9-1,,2021/10/19,酒田市,38.91447147,139.8331301
〇,,あしたば食堂,アシタバショクドウ,9901163,大江町大字本郷丁373-2,,2021/11/18,大江町,38.37821303,140.1963247
〇,,味だより参田,アジダヨリサンタ,9990121,川西町大字上小松1654,,2021/10/14,川西町,38.00530284,140.0476096
〇,,味処　京佳,アジドコロ　キョウカ,9921441,米沢市万世町金谷464-7,,2021/10/29,米沢市,37.9076742,140.1465818
〇,,味処　佐野,アジドコロ　サノ,9993134,上山市二日町9-15,,2021/9/28,上山市,38.15490696,140.2764848
〇,,味処　藤よし,アジドコロ　フジヨシ,9991363,小国町大字小国小坂町277,,2021/7/9,小国町,38.0606899,139.7455045
〇,,味どころ　ふる山,アジドコロ　フルヤマ,9920012,米沢市金池5-6-17,,2021/6/10,米沢市,37.92391666,140.1154329
〇,,味処　湯楽亭（べに花温泉ひなの湯内）,アジドコロ　ユラクテイ,9993511,河北町谷地字下野269,,2021/8/31,河北町,38.41763224,140.3213863
